placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
222-222@5qc-wqp-jqf,,Mrs Cavanaugh's Candies,"","",Other Miscellaneous Manufacturing,,3399,40.835374,-111.931408,835 Northpointe Cir,North Salt Lake,UT,84054,US,+18016778888,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }","",,,2019-07-01,POLYGON
222-222@5qc-zy5-mzf,,Chancellor Gardens,"","",Nursing and Residential Care Facilities,,623,41.093268,-111.996092,1425 S 1500 E,Clearfield,UT,84015,US,+13854890299,,Assisted Living,,,2019-07-01,POLYGON
222-222@5qc-zy6-y35,222-224@5qc-zy6-y35,Health Street,SG_BRAND_c5c154df3c9599e7,Health Street,Medical and Diagnostic Laboratories,Medical Laboratories,621511,41.087456,-111.987248,1868 N 1200 W,Layton,UT,84041,US,,,"Diagnostic Services,Laboratory Testing",,,,POLYGON
222-222@5qc-zy6-y5f,,Cracker Barrel,SG_BRAND_4c72c81de7cea539cb09bb1344c7b367,Cracker Barrel,Restaurants and Other Eating Places,Full-Service Restaurants,722511,41.086509,-111.98653,1792 N 1200 W,Layton,UT,84041,US,+18017763527,"{ ""Mon"": [[""7:00"", ""22:00""]], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [[""7:00"", ""21:00""]] }","Brunch,Lunch,American Food,Casual Dining,Breakfast,Catering,Dinner",,,2019-07-01,POLYGON
222-222@5qc-zy7-f4v,,Kid to Kid,SG_BRAND_3d6a46e3a9c97f037e59ceb5ae01bbc4,Kid to Kid,Used Merchandise Stores,Used Merchandise Stores,453310,41.088683,-111.999198,1827 W Antelope Dr,Layton,UT,84041,US,+18017733323,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [] }","Appraisal Services,Thrift Store",,,2019-07-01,POLYGON
222-222@5qc-zz3-qs5,,Russon Mortuary & Cremations,"","",Death Care Services,Funeral Homes and Funeral Services,812210,41.08608,-112.066084,1585 W 300 S,Syracuse,UT,84075,US,,,"",,,2019-07-01,POLYGON
222-222@5qd-2fp-8qf,,Dfg Inc,"","",Other Miscellaneous Manufacturing,,3399,41.252046,-111.991319,651 Critchlow Dr,Ogden,UT,84404,US,+18013940865,,"",,,2019-07-01,POLYGON
222-222@5qd-2jb-3dv,,Chromalox Inc,"","",Other Miscellaneous Manufacturing,,3399,41.297309,-112.011436,2150 Rulon White Blvd,Ogden,UT,84404,US,+18017823030,,"",,,2019-07-01,POLYGON
222-222@5qd-3pv-tgk,,Wendy's,SG_BRAND_962f9b1d1de0bf5b87f4782eafcfd5e5,Wendy's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.884481,-111.886359,210 W 500 S,Bountiful,UT,84010,US,+18012962449,"{ ""Mon"": [[""10:30"", ""19:00""]], ""Tue"": [[""10:30"", ""19:00""]], ""Wed"": [[""10:30"", ""19:00""]], ""Thu"": [[""10:30"", ""19:00""]], ""Fri"": [[""10:30"", ""19:00""]], ""Sat"": [[""10:30"", ""19:00""]], ""Sun"": [[""10:30"", ""19:00""]] }","Counter Service,Late Night,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,2019-07-01,POLYGON
222-22c@5qc-zzy-dn5,,Smithing O Larry MD,"","",Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,41.178873,-111.948693,4650 Harrison Blvd,Ogden,UT,84403,US,+18014762277,,Obstetrician-Gynecologist,,2021-10-11,2019-07-01,POLYGON
223-222@5qc-zy6-975,,Don Mendenhall Home Sweet Utah,"","",Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,531210,41.081434,-111.982641,1518 Woodland Park Dr Ste 610,Layton,UT,84041,US,+18016287743,"{ ""Mon"": [[""8:00"", ""20:00""]], ""Tue"": [[""8:00"", ""20:00""]], ""Wed"": [[""8:00"", ""20:00""]], ""Thu"": [[""8:00"", ""20:00""]], ""Fri"": [[""8:00"", ""20:00""]], ""Sat"": [[""8:00"", ""20:00""]], ""Sun"": [[""8:00"", ""20:00""]] }","",,,2019-07-01,POLYGON
223-222@5qc-zys-99f,,Weller's Bistro,"","",Restaurants and Other Eating Places,Full-Service Restaurants,722511,41.062912,-111.969082,197 N Main St,Layton,UT,84041,US,+13858889531,,"American Food,German Food",,,2019-07-01,POLYGON
223-222@5qd-24m-p5f,,Apple Acres,"","",Activities Related to Real Estate,Residential Property Managers,531311,41.015411,-111.915729,975 E 1175 S,Fruit Heights,UT,84037,US,+18013913931,,Mobile Homes,,,2019-07-01,POLYGON
223-222@5qd-2gk-gff,,Holley's Service,"","",Automotive Repair and Maintenance,,8111,41.232666,-112.025012,2000 S 1900 W,West Haven,UT,84401,US,+18017312311,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }","Auto Repair,Oil Changes,Tires",,,2019-07-01,POLYGON
223-222@5qd-2h5-wp9,,West Ogden Market & Vape,"","",Grocery Stores,Convenience Stores,445120,41.222819,-112.000338,873 W 24th St,Ogden,UT,84401,US,+13852441587,,"",,,2019-07-01,POLYGON
223-222@5qd-3pw-649,,Animal Care Center,"","","Other Professional, Scientific, and Technical Services",Veterinary Services,541940,40.884691,-111.898704,698 W 500 S,West Bountiful,UT,84087,US,,,"Groomer,Pet Training",,,2019-07-01,POLYGON
223-222@5qd-3rn-t5f,,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.92347,-111.890108,529 N 700 W,Centerville,UT,84014,US,+18012953091,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }","Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,2019-07-01,POLYGON
223-226@5qc-zyn-8sq,,Morrell Stephen L MD,"","",Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,41.040605,-111.945463,380 N 400 W,Kaysville,UT,84037,US,,,"Family Doctor,Internal Medicine,Obstetrician-Gynecologist",,,2019-07-01,POLYGON
224-222@5qd-2mk-ghq,,Hopkin Joe DDS,"","",Offices of Dentists,Offices of Dentists,621210,41.140164,-111.819496,5923 W Old Highway Rd,Mountain Green,UT,84050,US,,,"",,,2019-07-01,POLYGON
224-223@5qd-3rg-f4v,zzy-222@5qd-3pw-5mk,Sport Clips,SG_BRAND_66b7bca1fd5b3082752c2508bc56009d,Sport Clips,Personal Care Services,Barber Shops,812111,40.891149,-111.892605,175 N 500 W,West Bountiful,UT,84010,US,+18012981388,"{ ""Mon"": [[""9:00"", ""20:00""]], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""20:00""]], ""Sat"": [[""8:00"", ""19:00""]], ""Sun"": [] }","Men's Haircuts,Kids' Haircuts,Barber,Accessories,Massage",,,2019-07-01,POLYGON
225-222@5qc-zzr-8d9,,Wasatch Foot & Ankle Institute,"","",Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,41.164946,-111.954644,955 Chambers St Ste 200,South Ogden,UT,84403,US,+18016272122,,Podiatrists,,,2019-07-01,POLYGON
225-222@5qc-zzt-47q,,Mountain Medical Vein Center,"","",General Medical and Surgical Hospitals,General Medical and Surgical Hospitals,622110,41.15188,-111.94158,1486 E Skyline Dr Ste 201,South Ogden,UT,84405,US,+18014768346,,"",,2021-10-23,2019-07-01,POLYGON
225-222@5qd-22p-dy9,,Cricket Wireless Authorized Retailer,"","",Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312,41.139339,-112.063164,1917 W 1800 N Ste A4,Clinton,UT,84015,US,,,"Cell Phone Accessories,Cell Phones,Electronics",,2020-01-15,2019-07-01,POLYGON
